Site ,VES,D1,D2,D3,D4,D5,D6,D7,D8,D9* (10),T1,T2,T3,T4,T5,T6,T7,T8,T9,Latitude (21),Longitude,HII,Standard HII,Frag Name,Forest Frag Code,Forest Type,Forest Type Code,DC,Wetland,Code,WPU,WetForest,WetFor,Simple,Date,Date1,Date2,StanDate,Julian1,"Avg,STD"
Frog Pond 2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.03003,-77.6521,14,-0.69,Perforated,6,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,6/24/2016,-,-,-0.368752028,16176,
Gambrill State Park (Gambrill Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.454262,-77.495527,34,1.36,Transitional,2,Spruce/Fir Group,4,1,Freshwater Pond,1,2,7,Other Pond,4,6/23/2016,-,-,-0.371325336,16175,
Garland Pond WMA (Garland Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,43.750898,-71.413732,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,8/1/2016,-,-,-0.270966306,16214,
Grafton Ponds (GP1),-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,43.17,-72.61,17,-0.38,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,4/11/2016,-,-,-0.559176855,16102,
Grafton Ponds (GP2),-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,43.16,-72.61,13,-0.79,Interior,7,Oak/Hickory Group,1,0,Freshwater Ponds,1,2,1,Oak Pond,3,4/11/2016,-,-,-0.559176855,16102,
Grafton Ponds (GP3),-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,43.16,-72.62,13,-0.79,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,4/11/2016,-,-,-0.559176855,16102,
Great Swamp NWR (Harding Pool),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.72296,-74.49699,27,0.64,Transitional,2,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,4/14/2016,-,-,-0.551456929,16105,
Great Swamp NWR (I64G),-,1,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,40.72,-74.47772,27,0.64,Unlabeled,1,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,4/13/2016,-,-,-0.554030238,16104,
Great Swamp NWR (I64H),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.7215,-74.47919,27,0.64,Unlabeled,1,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,4/13/2016,-,-,-0.554030238,16104,
Great Swamp NWR (I64I),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.72161,-74.47929,27,0.64,Unlabeled,1,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,4/13/2016,-,-,-0.554030238,16104,
Great Swamp NWR (I84NS1),-,1,-,-,-,1,0,-,-,-,1,0,-,-,-,-,-,-,-,40.72,-74.47588,27,0.64,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/13/2016,-,-,-0.554030238,16104,
Great Swamp NWR (I84NS3),-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,40.72,-74.48083,27,0.64,Transitional,2,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,4/13/2016,-,-,-0.554030238,16104,
Great Swamp NWR (Marsh),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.72,-74.47417,27,0.64,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/13/2016,-,-,-0.554030238,16104,
Great Swamp NWR (Right of Way Pool),-,1,1,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,40.72,-74.42074,40,1.97,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/13/2016,-,-,-0.554030238,16104,
Green Mountain National Forest (BeeBe Pond),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43.05,-73.03,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,5/16/2016,5/18/2016,-,-0.469111058,16137,
Green Mountain National Forest (BP-Wall),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43.42,-72.92,10,-1.10,Interior,7,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,5/18/2016,-,-,-0.463964441,16139,
Green Mountain National Forest (Chittenden Reservoir),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,43.72,-72.92,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,8/29/2016,-,-,-0.198913669,16242,
Green Mountain National Forest (FR10-BP1),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43.28,-72.87,9,-1.20,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/18/2016,-,-,-0.463964441,16139,
Green Mountain National Forest (FR10-BP2),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43.36,-72.9,11,-1.00,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/18/2016,-,-,-0.463964441,16139,
Green Mountain National Forest (Frost Pond),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43.96,-73.01,9,-1.20,Interior,7,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,5/19/2016,-,-,-0.461391133,16140,
